"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"1312","SATLUJ AT 100M U/S OF HEADWORKS, NANGAL","PUNJAB","RIVERWATER",20,8,272,2.7,1.9,305,703,2011,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,78.0251262879298
"1313","SATLUJ AT D/S KIRATPUR SAHIB","PUNJAB","RIVERWATER",21,7,279,2,2,178,503,2011,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44,78.9495081748804
"1314","SATLUJ AT U/S HEAD WORKS ROPAR","PUNJAB","RIVERWATER",21,7,336,3.3,3.3,637,50000,2011,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,65.6392338290839
"1315","SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR","PUNJAB","RIVERWATER",23,7,326,2.7,6,2500,50000,2011,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,64.0815568167218
"1316","SATLUJ AT BRIDGE HARIKE, AMRITSAR","PUNJAB","RIVERWATER",18,7,494,3,2.7,403,950,2011,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,80.8028997312837
"1317","RAVI AT AT CHAMERA RESERVOIR","HIMACHALPRADESH","RIVERWATER",15,8,158,0.5,0.4,7,106,2011,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,82.3617031818203
"1318","RAVI AT AT D/S CHAMERA III HEP","HIMACHALPRADESH","RIVERWATER",10,8,137,0.4,0.3,4,47,2011,100,100,80,100,100,80,17,17,13,6.88,22,17.6,93.48,86.0860689732979
"1319","RAVI AT D/S OF CHAMBA TOWN","HIMACHALPRADESH","RIVERWATER",11,8,190,0.5,0.6,9,169,2011,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,85.2751125125056
"1320","PARVATI BEFORE CONF. TO RIVER BEAS","HIMACHALPRADESH","RIVERWATER",10,8,84,0.2,0.3,125,909,2011,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68,85.8985738914018
"1321","PARVATI AT U/S MANIKARAN","HIMACHALPRADESH","RIVERWATER",7,8,65,0.1,0.3,27,217,2011,100,100,100,100,100,60,17,17,13,8.6,22,13.2,90.8,88.3087055516159
"1322","SIRSA , U/S SITOMAJRI NALLAHGARH","HIMACHALPRADESH","RIVERWATER",20,8,364,2.1,1.3,26,69,2011,80,100,0,100,100,60,13.6,17,13,0,22,13.2,78.8,78.3315107907488
"1323","SIUEL AT D/S SURGANI","HIMACHALPRADESH","RIVERWATER",13,8,155,0.4,0.5,6,58,2011,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,83.8580728560809
"1324","SUKETI KHAD  AT D/S MANDI","HIMACHALPRADESH","RIVERWATER",19,8,233,1.1,0.9,773,2327,2011,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,78.6874453176313
"1325","BASPA AT U/S RESERVOIR BASPA PROJECT","HIMACHALPRADESH","RIVERWATER",5,8,136,0.3,0.1,25,174,2011,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,89.7672022367242
"1326","ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG","UTTARAKHAND","RIVERWATER",18.4,8.1,132,0.7,0.08,18134.3000000001,50000,2011,80,100,80,100,100,0,13.6,17,13,6.88,22,0,72.48,66.6050198689501
"1327","GANGA U/S, ANOOPSHAHAR","UTTARPRADESH","RIVERWATER",18.3,7.4,196,2.8,0.21,673,1377,2011,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,80.1037792114695
"1328","GANGA D/S, ANOOPSHAHAR","UTTARPRADESH","RIVERWATER",18.5,7.6,230,3.6,0.23,783,1713,2011,80,100,40,80,100,40,13.6,17,10.4,3.44,22,8.8,75.24,79.4262246505106
"1329","GANGA AT KANNAUJ D/S","UTTARPRADESH","RIVERWATER",25.6,8,324,5.5,2.25,18134.3000000001,50000,2011,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,60.4482770038266
"1330","GANGA AT BAHARAMPORE ","WEST BENGAL","RIVERWATER",26.3,7.8,294,2.2,0.39,18134.3000000001,50000,2011,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,60.939342652651
"1331","GANGA AT PALTA ","WEST BENGAL","RIVERWATER",27,7.8,287,2.1,0.43,18134.3000000001,50000,2011,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,60.4388557451802
"1332","GANGA AT HOWRAH-SHIVPUR ","WEST BENGAL","RIVERWATER",27,7.8,301,4,0.27,18134.3000000001,50000,2011,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,60.1180556685384
"1333","GANGA AT GARDEN REACH ","WEST BENGAL","RIVERWATER",26.6,7.8,316,4.1,0.29,18134.3000000001,50000,2011,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,60.3927693727401
"1334","YAMUNA AT U/S OF LAKHWAR DAM","UTTARAKHAND","RIVERWATER",18.8,7.8,171,0.9,0.06,275,1255,2011,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,79.5132662281334
"1335","YAMUNA AT U/S DAK PATTHAR","UTTARAKHAND","RIVERWATER",19.3,7.8,185,2.7,0.07,18134.3000000001,4015,2011,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,78.1054112137303
"1336","RAPTI AT RAJGHAT, GORAKHPUR","UTTARPRADESH","RIVERWATER",24,8.1,387,3.6,0.55,158,363,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,74.9483383621465
"1337","SARYU AT AYODHYA AT MAIN BATHING GHAT","UTTARPRADESH","RIVERWATER",18.5,7.7,226,2.6,0.62,18134.3000000001,50000,2011,80,100,40,100,100,0,13.6,17,13,3.44,22,0,69.04,66.7531691802293
"1338","GHAGHARA AT DEORIA D/S","UTTARPRADESH","RIVERWATER",23.8,8.2,421,2.8,0.44,118,295,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,75.108732226338
"1339","GHAGHRA AT BARHALGANJ, GORAKHPUR","UTTARPRADESH","RIVERWATER",23.5,8.1,425,3,0.5,153,328,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,75.431100259962
"1340","RIHAND AT RENUKUT U/S","UTTARPRADESH","RIVERWATER",26.2,7.7,178,1.4,0.82,1100,1800,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.9279206142857
"1341","RIHAND AT RENUKUT D/S","UTTARPRADESH","RIVERWATER",26.3,7.7,185,2.1,0.89,1300,2142,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.6371331261614
"1342","TONS RIVER","HIMACHALPRADESH","RIVERWATER",11.7,7.4,68,0.6,0.13,5,22,2011,100,100,100,100,100,80,17,17,13,8.6,22,17.6,95.2,85.7189982211964
"1343","PABBAR AT D/S SWARAKUDDU","HIMACHALPRADESH","RIVERWATER",11.3,7.5,68,0.5,0.12,4,10,2011,100,100,100,100,100,80,17,17,13,8.6,22,17.6,95.2,85.8854987863207
"1344","HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT","UTTARPRADESH","RIVERWATER",20.4,7.3,738,43.5,4.53,18134.3000000001,50000,2011,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,58.5134226241903
"1345","BETWA AT CHARANTIRGHAT, VIDISHA","MADHYAPRADESH","RIVERWATER",35.5,7.9,643,3.3,4.37,12,934,2011,0,100,0,80,100,40,0,17,10.4,0,22,8.8,58.2,66.3917916307852
"1346","BETWA B/C YAMUNA AT HAMIRPUR","UTTARPRADESH","RIVERWATER",24.2,8.1,428,3.7,0.06,18134.3000000001,50000,2011,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,61.7900598215534
"1347","CHAMBAL AT KOTA D/S","RAJASTHAN","RIVERWATER",26.8,8.1,515,2.1,0.43,5,107,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.2135540947046
"1348","CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR","RAJASTHAN","RIVERWATER",26,8,473,1,0.62,3,6,2011,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.1600747771994
"1349","PARVATI A/C OF VINDHYACHAL NALLA, PILUKHEDI","MADHYAPRADESH","RIVERWATER",22.6,7.6,474,3.4,1.92,75,422,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.6433272354114
"1350","BANAS NEAR NEWTA DAM, JAIPUR","RAJASTHAN","RIVERWATER",28.4,8,1547,12.5,0.52,8,278,2011,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,70.246264280011
"1351","CHHAPI, U/S CHHAPI DAM","RAJASTHAN","RIVERWATER",27,8.2,461,1.4,0.51,3,26,2011,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.0583469609953
"1352","DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE","WEST BENGAL","RIVERWATER",28.5,7.8,231,1.8,0.25,545,50000,2011,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,59.4029744841212
"1353","DAMODAR AT HALDIA D/S (2 KM AWAY FROM HALDIA TOWN)","WEST BENGAL","RIVERWATER",27.8,7.6,7398,2.4,0.32,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.5869117104053
"1354","BARAKAR AT ASANSOL (WATER INTAKE PT)","WEST BENGAL","RIVERWATER",27.9,7.8,210,2.2,0.5,18134.3000000001,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.7591877403081
"1355","RUPNARAYAN B/C R. GANGA NR GEONKHALI","WEST BENGAL","RIVERWATER",28,7.8,1496,1.2,0.38,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.7746999642706
"1356","WATER INTAKE POINT - BANKURA TOWN ON R. DWARAKESHWAR","WEST BENGAL","RIVERWATER",27.5,7.6,283,2.6,0.29,860,50000,2011,40,100,40,100,100,0,6.8,17,13,3.44,22,0,62.24,60.2923958884382
"1357","D/S OF TARAPITH ON DWARKA, SATIGHAT","WEST BENGAL","RIVERWATER",28,7.5,523,4.2,0.97,18134.3000000001,50000,2011,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,59.7295075958903
"1358","CHURNI, MAJHADIA","WEST BENGAL","RIVERWATER",28.5,7.3,529,14.5,0.41,18134.3000000001,50000,2011,40,100,0,60,100,0,6.8,17,7.8,0,22,0,53.6,57.9044322626354
"1359","WATER INTAKE POINT FOR SURI TOWN ON R. MAYURAKSHI","WEST BENGAL","RIVERWATER",26.7,7.8,159,2.2,0.18,1442,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,60.6692848344277
"1360","D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR","WEST BENGAL","RIVERWATER",27.6,7.6,202,2.7,0.17,18134.3000000001,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,60.2156382923918
"1361","MAHANANDA D/S, RAMGHAT","WEST BENGAL","RIVERWATER",22.3,7.3,88,2,0.27,18134.3000000001,50000,2011,60,100,80,100,100,0,10.2,17,13,6.88,22,0,69.08,64.6909537448804
"1362","BRAHMAPUTRA AT NIMATIGHAT","ASSAM","RIVERWATER",23.8,7.1,151,1.5,0.12,124,780,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,76.8935474811728
"1363","BRAHMPUTRA AT DHENUKHAPAHAR","ASSAM","RIVERWATER",24.3,7.5,152,2.1,0.16,160,982,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,75.7672068303258
"1364","BRAHMAPUTRA AT DHUBRI","ASSAM","RIVERWATER",27.4,7.2,147,1.6,0.1,200,720,2011,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,74.092467336755
"1365","PAGLDIA  NALBARI TOWN, NALBARI","ASSAM","RIVERWATER",26.3,7.9,242,1.2,0.12,120,244,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44,74.0431462262725
"1366","JAI BHARALI NEAR BISWANATH CHARALI, SONITPUR","ASSAM","RIVERWATER",24,7.3,94,1.3,0.1,120,767,2011,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88,76.4912247584837
"1367","KALONG AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON","ASSAM","RIVERWATER",29.3,6.7,142,3,0.11,330,1515,2011,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,72.9871270082129
"1368","KOLONG AT MARIGAON","ASSAM","RIVERWATER",27.7,7.6,111,1.6,0.11,233,487,2011,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88,73.3369228494435
"1369","*MORA BHARALI  AT TEZPUR","ASSAM","RIVERWATER",24.8,7.9,189,2.4,0.12,100,967,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,74.7530816022614
"1370","BORAK AT PANCHAGRAM","ASSAM","RIVERWATER",15.7,7.2,127,2,0.11,200,637,2011,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28,82.6633077070759
"1371","TEESTA AT SILIGURI","WEST BENGAL","RIVERWATER",19.08333,7.3,111,2.9,0.25,18134.3000000001,50000,2011,80,100,80,100,100,0,13.6,17,13,6.88,22,0,72.48,66.9032231413902
"1372","RANGA NADI D/S OF HYDEL PROJECT","ASSAM","RIVERWATER",23.5,7.1,116,3,0.11,90,273,2011,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28,76.9894703454901
"1373","KAPILI AT DHARMTUL BRIDGE, NH-31, NAGAON","ASSAM","RIVERWATER",27,6.5,85,1.5,0.1,455,1001,2011,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,75.3811371425331
"1374","SONAI AT SONAI","ASSAM","RIVERWATER",15.8,7.2,94,3.8,0.11,303,887,2011,80,100,80,80,100,40,13.6,17,10.4,6.88,22,8.8,78.68,82.2128415586259
"1375","KUSHIARA AT KARIMGANJ","ASSAM","RIVERWATER",12.5,7.2,123,1.6,0.13,120,503,2011,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68,85.1241049868413
"1376","KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN","WEST BENGAL","RIVERWATER",26.4,7,79,2.9,0.19,18134.3000000001,50000,2011,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,61.9686638672302
"1377","KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT","WEST BENGAL","RIVERWATER",26.1,7.2,139,2.7,0.19,18134.3000000001,50000,2011,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,61.9213090494628
"1378","MAHI AT UMETA BRIDGE","GUJARAT","RIVERWATER",25,8.3,517,1,0.36,4,21,2011,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,74.4595774122394
"1379","MAHI AT SEVALIA","GUJARAT","RIVERWATER",26.6,8.1,418,3.3,0.22,3,9,2011,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,73.1993276264303
"1380","MAHI AT VIRPUR","GUJARAT","RIVERWATER",26,8.1,403,3.1,0.05,4,16,2011,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,73.68732397511
"1381","NARMADA AT MANDLA NR RD BDG","MADHYAPRADESH","RIVERWATER",25.5,7.4,464,1.9,0.85,1,87,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,75.2312329060507
"1382","NARMADA AT SETHANIGHAT ","MADHYAPRADESH","RIVERWATER",37.5,8.1,284,2,1.06,10,732,2011,0,100,40,100,100,40,0,17,13,3.44,22,8.8,64.24,65.1580667764735
"1383","TAPI AT MANDAVI","GUJARAT","RIVERWATER",27.7,8,359,1.9,0.22,677,1510,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.3928293182641
"1384","RANGAVALI D/S OF NAVAPUR","MAHARASHTRA","RIVERWATER",30.7,7.7,487,5.2,2.75,19,39,2011,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,70.2552249045097
"1385","DENWA NEAR SARNI, ROAD BRIDGE","MADHYAPRADESH","RIVERWATER",37.3,7.8,521,2.2,3.4,12,647,2011,0,100,0,100,100,40,0,17,13,0,22,8.8,60.8,65.5593581943155
"1386","BORI D/S OF AMALNER, JALGAON","MAHARASHTRA","RIVERWATER",31.4,7.6,507,4,2.47,20,68,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,70.1087116587795
"1387","BURAI BEFORE CONFLUECE TO TAPI, MUKUDAS, DHULE","MAHARASHTRA","RIVERWATER",28.4,7.6,510,4.8,3.51,26,53,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,72.1096935886455
"1388","HIWARA D/S OF PACHORA, JALGAON","MAHARASHTRA","RIVERWATER",31.1,7.6,561,3.7,2.28,35,96,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,70.384035283144
"1389","MORNA AT D/S OF RAILWAY BRIDGE AT AKOLA.","MAHARASHTRA","RIVERWATER",22,7.9,840,5.7,2.04,178,348,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.2207148309407
"1390","MAHANADI AT SAMBALPUR U/S","ORISSA","RIVERWATER",27,7.8,199,1.5,0.18,1329,2415,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.0539053126994
"1391","MAHANADI D/S (AFTER CONFL. WITH R. ONG SONEPUR U/S)","ORISSA","RIVERWATER",26.4,7.9,203,1.3,0.39,819,1616,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.5759033494456
"1392","CUTTACK FDS (SERUA) AT SANKHATRASA","ORISSA","RIVERWATER",27.3,8,210,2.2,0.48,2846,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.9037298236703
"1393","POWER CHANNEL D/S NEAR BURLA","ORISSA","RIVERWATER",27.3,7.9,184,1.7,0.69,412,829,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.0300978326802
"1394","PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP)","ORISSA","RIVERWATER",28.1,8,2453,1.3,0.78,1524,3017,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,71.6156969325144
"1395","IB AT BRAJRAJNAGAR (INTAKE) D/S","ORISSA","RIVERWATER",27.5,8,162,1.8,0.42,1288,2728,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,72.2382226907537
"1396","KATHAJODI AT CUTTACK D/S","ORISSA","RIVERWATER",27.5,8.1,201,3.1,0.54,18134.3000000001,50000,2011,40,100,60,80,100,0,6.8,17,10.4,5.16,22,0,61.36,59.4466415149108
"1397","BRAHMANI AT TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)","ORISSA","RIVERWATER",25.7,7.9,153,1.5,0.63,702,1257,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,74.1376343498494
"1398","KABATABANDHA (BEFORE IMPACT OF INDL ACTIY KALINGANAGAR AREA)","ORISSA","RIVERWATER",28.1,7.8,154,1.8,0.92,2323,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.6561119192795
"1399","BRAHMANI AT PATTAMUNDAI","ORISSA","RIVERWATER",27.1,8,203,1.7,0.31,18134.3000000001,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,60.1506165835077
"1400","KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR)","ORISSA","RIVERWATER",26,7.9,140,1.9,0.5,2118,3470,2011,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,73.276349892024
"1401","AUL","ORISSA","RIVERWATER",27.8,7.7,152,1.5,0.54,18134.3000000001,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,60.1056148343534
"1402","BAITARNI AT ANANDPUR","ORISSA","RIVERWATER",27.8,7.8,161,1.6,0.4,18134.3000000001,50000,2011,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,59.9479721005805
"1403","GODAVARI AT JAYAKWADI DAM, AURNAGABAD","MAHARASHTRA","RIVERWATER",27.3,8,574,4.7,1.1,3,86,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,72.4958120806059
"1404","GODAVARI RIVER NEAR SOMESHWAR TEMPLE.","MAHARASHTRA","RIVERWATER",25.5,7.7,313,6.5,1.51,21,77,2011,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,73.9487888358004
"1405","GODAVARI RIVER AT SAIKHEDA.","MAHARASHTRA","RIVERWATER",25.7,7.6,363,6.6,1.71,17,47,2011,40,100,0,60,100,80,6.8,17,7.8,0,22,17.6,71.2,73.9236359497688
"1406","GODAVARI AT NANDUR- MADMESHWAR DAM.","MAHARASHTRA","RIVERWATER",25.3,7.6,359,4.1,1.91,16,55,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,74.6379660358103
"1407","GODAVARI AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.","MAHARASHTRA","RIVERWATER",28.4,8.1,970,4.8,1.35,3,85,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.4726461060143
"1408","GODAVARI AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .","MAHARASHTRA","RIVERWATER",27.3,8.1,537,4.4,1.23,3,84,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,72.3927507532392
"1409","GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL","ANDHRAPRADESH","RIVERWATER",26.5,7.9,338,1.7,0.23,98,1196,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.5441969882018
"1410","GODAVARI AT MANCHERIAL","ANDHRAPRADESH","RIVERWATER",25.1,8.2,481,2.3,0.26,89,1380,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.9618698286754
"1411","GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20,7.7,331,0.6,0.26,4,1200,2011,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,78.8197856826235
"1412","GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20,7.6,344,0.7,0.27,5,1308,2011,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,78.9217816307201
"1413","GODAVARI AT BURGAMPAHAD, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20,7.1,671,0.7,0.32,5,1325,2011,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,79.6370650647704
"1414","GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL","ANDHRAPRADESH","RIVERWATER",26.3,7.5,255,1.1,1.74,3,525,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,74.4696465014425
"1415","GODAVARI AT POLAVARAM","ANDHRAPRADESH","RIVERWATER",26.2,7.8,244,1,1.2,3,330,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44,74.2024326358017
"1416","GODAVARI AT RAJAHMUNDRY U/S","ANDHRAPRADESH","RIVERWATER",25.6,7.7,248,1.1,1.49,3,428,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44,74.7299750599733
"1417","GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL","ANDHRAPRADESH","RIVERWATER",26.4,7.4,268,1.2,1.96,3,984,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04,74.3911197290256
"1418","GODAVARI AT RAJAHMUNDRY D/S","ANDHRAPRADESH","RIVERWATER",25.6,7.6,307,1.3,1.9,3,793,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,74.7156511592702
"1419","MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU","ANDHRAPRADESH","RIVERWATER",26.3,8.2,394,1.9,0.79,10,106,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.4510388620203
"1420","MANJERA AT RAIPALLU","ANDHRAPRADESH","RIVERWATER",26.8,8.1,393,2.2,0.92,15,148,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.1598011074358
"1421","WARDHA AT U/S OF ACC GHUGGUS. ,CHANDRAPUR","MAHARASHTRA","RIVERWATER",19,7.8,621,5.3,1.31,49,121,2011,80,100,0,80,100,60,13.6,17,10.4,0,22,13.2,76.2,78.7763516092124
"1422","WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.","MAHARASHTRA","RIVERWATER",19.1,7.9,573,5.3,1.46,64,152,2011,80,100,0,80,100,60,13.6,17,10.4,0,22,13.2,76.2,78.5380990866303
"1423","WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.","MAHARASHTRA","RIVERWATER",18.3,7.9,622,6.7,1.47,99,248,2011,80,100,0,60,100,60,13.6,17,7.8,0,22,13.2,73.6,78.8539924468462
"1424","KOLAR B/C TO KANHAN AT KAMPTEE","MAHARASHTRA","RIVERWATER",22.2,7.9,740,5.4,1.66,89,184,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.2026797981982
"1425","PURNA NR ACHALPUR-AMRAVATI RD BDG, ASEGAON, CHANDUR BAZAR, AMRAVATI","MAHARASHTRA","RIVERWATER",19.6,8.4,780,4.9,2.05,94,224,2011,80,100,0,80,100,60,13.6,17,10.4,0,22,13.2,76.2,77.4170563028169
"1426","SABARI AT KUNAVARAM, KHAMMAM","ANDHRAPRADESH","RIVERWATER",20.3,7.3,119,0.5,0.1,2,200,2011,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28,79.5029217124857
"1427","DARNA RIVER AT BHAGUR PUMPING STATION NR PANDHURLI BDG, BHAGUR, NASHIK","MAHARASHTRA","RIVERWATER",25.2,7.7,261,3.9,1.44,13,36,2011,40,100,40,80,100,80,6.8,17,10.4,3.44,22,17.6,77.24,74.6422083892174
"1428","PENGANGA AT MEHKAR- BULDANA AD BRIDGE AT MEHKAR, BULDHANA.","MAHARASHTRA","RIVERWATER",21.9,7.9,791,6.3,2.15,137,346,2011,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,76.1861930442136
"1429","WENA AT D/S  MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER RD","MAHARASHTRA","RIVERWATER",20.8,8,639,6.8,1.65,62,182,2011,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,76.8491418288853
"1430","KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM","MAHARASHTRA","RIVERWATER",22.5,7.8,154,2.8,0.21,102,873,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,76.547818946794
"1431","KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.","MAHARASHTRA","RIVERWATER",20.4,7.8,430,5.6,0.64,217,1354,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,77.4303029788501
